sku,date,region,channel,brand,segment,category,pack_type,price_unit,promotion_flag,delivery_days,stock_available,delivered_qty,units_sold,month,day_of_week,is_weekend,day,week_of_year,quarter,is_month_start,is_month_end,l_1,l_7,l_14,mo_sin,mo_cos,dow_sin,dow_cos,cat_roll_mean_7,cat_roll_mean_14,cat_trend_7_14,roll_mean_7,roll_mean_14,roll_std_7,lag_diff_1_7,trend_7_14,promo_l_1,promo_roll_7,promo_change,price_l_1,price_change_1,price_roll_mean_7,stock_l_1,delivery_l_1,is_stockout,trend,promo_price_interaction
YO-029,2024-12-15,PL-North,Discount,YoBrand4,Yogurt-Seg2,Yogurt,Multipack,5.73,1,1.0,135.0,125,18,12,6,1,15,50,4,0,0,5.0,15.0,15.0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,16.142857142857142,12.785714285714286,3.357142857142856,9.714285714285714,13.142857142857142,5.879747322073354,-10.0,-3.428571428571429,0.0,0.0,1.0,8.33,-2.5999999999999996,4.2542857142857144,73.0,106.0,0,1059,5.73
YO-016,2024-12-16,PL-Central,Retail,YoBrand3,Yogurt-Seg3,Yogurt,Multipack,4.36,0,3.0,184.0,166,8,12,0,0,16,51,4,0,0,18.0,25.0,22.0,-2.4492935982947064e-16,1.0,0.0,1.0,15.714285714285714,15.928571428571429,-0.2142857142857153,20.0,19.571428571428573,12.069244660154455,-7.0,0.42857142857142705,0.0,0.2857142857142857,0.0,7.23,-2.87,6.724285714285714,193.0,222.0,0,1060,0.0
YO-009,2024-12-16,PL-South,Discount,YoBrand4,Yogurt-Seg1,Yogurt,Single,6.69,0,5.0,153.0,143,10,12,0,0,16,51,4,0,0,7.0,18.0,37.0,-2.4492935982947064e-16,1.0,0.0,1.0,11.714285714285714,11.428571428571429,0.2857142857142847,14.142857142857142,15.071428571428571,6.618876325293022,-11.0,-0.9285714285714288,0.0,0.0,0.0,6.92,-0.22999999999999954,6.602857142857142,95.0,140.0,0,1060,0.0
YO-024,2024-12-17,PL-Central,Retail,YoBrand2,Yogurt-Seg3,Yogurt,Carton,8.72,0,4.0,148.0,128,15,12,1,0,17,51,4,0,0,17.0,16.0,15.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,12.428571428571429,16.214285714285715,-3.7857142857142865,14.428571428571429,14.214285714285714,4.117326918327363,1.0,0.2142857142857153,0.0,0.0,0.0,2.59,6.130000000000001,6.018571428571429,245.0,241.0,0,1061,0.0
RE-025,2024-12-17,PL-South,Discount,ReBrand2,ReadyMeal-Seg3,ReadyMeal,Multipack,7.53,0,5.0,209.0,178,20,12,1,0,17,51,4,0,0,11.0,22.0,14.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,21.857142857142858,18.071428571428573,3.7857142857142847,21.428571428571427,21.0,7.764387566686382,-11.0,0.42857142857142705,0.0,0.14285714285714285,0.0,1.89,5.640000000000001,4.005714285714285,100.0,104.0,0,1061,0.0
MI-008,2024-12-17,PL-North,Discount,MiBrand3,Milk-Seg2,Milk,Single,1.63,1,2.0,114.0,178,18,12,1,0,17,51,4,0,0,14.0,13.0,10.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,11.428571428571429,11.142857142857142,0.2857142857142865,11.428571428571429,11.428571428571429,3.8234863173611138,1.0,0.0,0.0,0.0,1.0,1.8,-0.17000000000000015,3.5557142857142856,223.0,221.0,0,1061,1.63
YO-009,2024-12-17,PL-South,E-commerce,YoBrand4,Yogurt-Seg1,Yogurt,Multipack,5.37,0,1.0,153.0,157,9,12,1,0,17,51,4,0,0,24.0,8.0,34.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,13.857142857142858,13.571428571428571,0.2857142857142865,15.428571428571429,16.642857142857142,7.72133716522262,16.0,-1.2142857142857135,0.0,0.14285714285714285,0.0,2.0,3.37,4.7299999999999995,246.0,222.0,0,1061,0.0
SN-027,2024-12-17,PL-South,Discount,SnBrand2,SnackBar-Seg3,SnackBar,Carton,1.74,0,5.0,144.0,176,10,12,1,0,17,51,4,0,0,7.0,20.0,12.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,11.428571428571429,12.428571428571429,-1.0,15.857142857142858,14.071428571428571,8.13282590142298,-13.0,1.7857142857142865,0.0,0.2857142857142857,0.0,7.16,-5.42,5.524285714285715,94.0,113.0,0,1061,0.0
YO-016,2024-12-17,PL-North,E-commerce,YoBrand3,Yogurt-Seg3,Yogurt,Multipack,2.71,0,4.0,0.0,183,0,12,1,0,17,51,4,0,0,10.0,24.0,23.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,12.571428571428571,14.785714285714286,-2.2142857142857153,15.571428571428571,15.714285714285714,7.634508123364206,-14.0,-0.14285714285714235,0.0,0.14285714285714285,0.0,6.53,-3.8200000000000003,5.117142857142857,149.0,222.0,1,1061,0.0
YO-016,2024-12-17,PL-Central,Retail,YoBrand3,Yogurt-Seg3,Yogurt,Multipack,6.84,0,2.0,215.0,288,22,12,1,0,17,51,4,0,0,8.0,15.0,17.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,14.857142857142858,15.357142857142858,-0.5,17.571428571428573,18.571428571428573,12.594405409508143,-7.0,-1.0,0.0,0.2857142857142857,0.0,4.36,2.4799999999999995,6.095714285714286,184.0,166.0,0,1061,0.0
