feature,mean_abs_shap
num__stock_available,4.025175767899662
num__promotion_flag,2.157294029561899
num__cat_roll_mean_7,1.5096415506956162
num__cat_roll_mean_14,0.9149889640502104
num__roll_mean_14,0.7019822234165397
num__mo_cos,0.2457961272546576
cat__sku,0.23592263484727788
num__trend,0.22805459188027769
num__month,0.18467670964133243
num__stock_l_1,0.16585812329324875
num__promo_roll_7,0.16093990215926465
num__promo_change,0.09045736391776744
cat__brand,0.07345169391924858
num__promo_price_interaction,0.06962182903295772
num__roll_mean_7,0.06245142941241006
num__week_of_year,0.05622039542225154
cat__segment,0.05529404565496704
num__l_1,0.04149960459260576
num__mo_sin,0.029241795944747365
num__roll_std_7,0.026943606813125517
num__trend_7_14,0.022884692874385867
num__cat_trend_7_14,0.01496387525072472
num__is_stockout,0.012142716070830928
num__delivered_qty,0.011086651620827018
num__l_14,0.008903406262633185
num__price_l1,0.008377641382627457
num__delivery_l_1,0.008117296075100039
num__day,0.005828953765280161
num__promo_l1,0.004995591572330431
num__price_change_1,0.004785734887960562
num__price_unit,0.004175793718193646
num__lag_diff_1_7,0.0032853530814802878
num__l_7,0.0029294368556905996
num__price_roll_mean_7,0.002657180503729121
num__delivery_days,0.0026272493174636534
cat__pack_type,0.0008752512942409143
num__day_of_week,0.0007682745701226956
num__dow_cos,0.0005534806403343148
cat__region,0.00026828666666800597
cat__channel,0.00015935229915456565
num__dow_sin,0.00011032718638826661
cat__category,0.0
num__promo_l_1,0.0
num__is_weekend,0.0
num__quarter,0.0
num__is_month_end,0.0
num__price_l_1,0.0
num__is_month_start,0.0
